,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
2794,10,Rice Plaza,James,Metcalfe,43,Husband,Married,Male,Emergency planning/management officer,None,Sikh
2795,11,Rice Plaza,Jessica,Chapman-Hill,58,Head,Married,Female,Marketing executive,None,None
2796,11,Rice Plaza,Nathan,Chapman-Hill,60,Husband,Married,Male,Oceanographer,None,None
2797,11,Rice Plaza,Roger,Chapman-Hill,27,Son,Divorced,Male,Research scientist (physical sciences),None,None
2798,11,Rice Plaza,Carole,Chapman-Hill,27,Daughter,Single,Female,Chartered management accountant,None,None
2799,11,Rice Plaza,Josh,Chapman-Hill,14,Son,NA,Male,Student,None,NA
2800,12,Rice Plaza,Daniel,Williams,31,Head,Single,Male,"Exhibitions officer, museum/gallery",None,Christian
2801,12,Rice Plaza,Sara,Morris,38,None,Single,Female,Psychiatrist,None,None
2802,13,Rice Plaza,Natalie,Cox,58,Head,Single,Female,Clinical molecular geneticist,None,Christian
2803,13,Rice Plaza,Amber,Chambers,61,None,Single,Female,"Embryologist, clinical",None,Catholic
2804,14,Rice Plaza,Gerard,Matthews,39,Head,Married,Male,"Editor, magazine features",None,None
2805,14,Rice Plaza,Amber,Matthews,35,Wife,Married,Female,"Psychotherapist, child",None,None
2806,14,Rice Plaza,Allan,Matthews,4,Son,NA,Male,Child,None,NA
2807,14,Rice Plaza,Bernard,Matthews,3,Son,NA,Male,Child,None,NA
2808,14,Rice Plaza,Irene,Matthews,1,Daughter,NA,Female,Child,None,NA
2809,15,Rice Plaza,Christian,Duffy,24,Head,Single,Male,Research scientist (medical),None,Methodist
2810,15,Rice Plaza,Jean,Lowe,25,Partner,Single,Female,"Engineer, electrical",None,None
2811,16,Rice Plaza,Lorraine,Scott,40,Head,Married,Female,Air cabin crew,None,Catholic
2812,16,Rice Plaza,Jack,Scott,41,Husband,Married,Male,Animal technologist,None,Catholic
2813,16,Rice Plaza,Yvonne,Scott,20,Daughter,Single,Female,University Student,None,None
2814,16,Rice Plaza,Gareth,Scott,19,Son,Single,Male,University Student,None,Catholic
2815,17,Rice Plaza,Danny,Williams,34,Head,Single,Male,Economist, ,Christian
2816,18,Rice Plaza,Debra,Campbell,34,Head,Married,Female,Data scientist,None,Catholic
2817,18,Rice Plaza,Gavin,Campbell,35,Husband,Married,Male,"Producer, television/film/video",None,Catholic
2818,18,Rice Plaza,Diane,Campbell,6,Daughter,NA,Female,Student,None,NA
2819,19,Rice Plaza,Joanne,Clarke,66,Head,Divorced,Female,Technical sales engineer,None,Christian
2820,19,Rice Plaza,Janice,Clarke,13,Granddaughter,NA,Female,Student,None,NA
2821,20,Rice Plaza,Robert,Whitehead,25,Head,Divorced,Male,Unemployed,None,None
2822,20,Rice Plaza,Holly,Burrows,59,Lodger,Single,Female,Manufacturing engineer,None,Methodist
2823,20,Rice Plaza,Bethan,Taylor,18,Lodger,Single,Female,Student,None,NA
2824,20,Rice Plaza,Kimberley,Wright,40,Lodger,Divorced,Female,"Engineer, chemical",None,Christian
2825,20,Rice Plaza,Benjamin,Rowe,35,Lodger,Single,Male,Horticultural therapist,None,None
2826,21,Rice Plaza,Julia,Wright,46,Head,Single,Female,Unemployed,None,Catholic
2827,21,Rice Plaza,Lauren,Wright,16,Daughter,NA,Female,Student,None,NA
2828,21,Rice Plaza,Abdul,Wright,12,Son,NA,Male,Student,None,NA
2829,21,Rice Plaza,Emily,Wright,9,Daughter,NA,Female,Student,None,NA
2830,21,Rice Plaza,Donna,Wright,5,Daughter,NA,Female,Student,None,NA
2831,22,Rice Plaza,Lesley,Johnson-Brown,29,Head,Married,Female,Secretary/administrator,None,None
2832,22,Rice Plaza,Gordon,Johnson-Brown,35,Husband,Married,Male,Diplomatic Services operational officer,None,None
2833,23,Rice Plaza,Hazel,Wilson,34,Head,Married,Female,"Programme researcher, broadcasting/film/video",None,Muslim
2834,23,Rice Plaza,Vincent,Wilson,40,Husband,Married,Male,Phytotherapist,None,Muslim
2835,24,Rice Plaza,Joanna,Day,36,Head,Divorced,Female,Unemployed,None,None
2836,24,Rice Plaza,Raymond,Day,9,Son,NA,Male,Student,None,NA
2837,24,Rice Plaza,Charles,Day,5,Son,NA,Male,Student,None,NA
2838,24,Rice Plaza,Terry,Day,3,Son,NA,Male,Child,None,NA
2839,25,Rice Plaza,George,Robinson,57,Head,Married,Male,Unemployed,None,Christian
2840,25,Rice Plaza,Denise,Robinson,55,Wife,Married,Female,Unemployed,None,Christian
2841,26,Rice Plaza,Eric,O'Donnell,49,Head,Married,Male,Product designer,None,Catholic
2842,26,Rice Plaza,Chelsea,O'Donnell,48,Wife,Married,Female,Customer service manager,None,None
2843,27,Rice Plaza,Carolyn,Benson,88,Head,Widowed,Female,Retired Dentist,None,Christian
2844,28,Rice Plaza,Kayleigh,Ward,64,Head,Married,Female,Landscape architect,None,Methodist
2845,28,Rice Plaza,Julian,Ward,66,Husband,Married,Male,Games developer,None,Methodist
2846,28,Rice Plaza,Phillip,Ward,24,Son,Single,Male,"Therapist, nutritional",None,Methodist
2847,28,Rice Plaza,Chloe,Ward,21,Daughter,Single,Female,University Student,None,None
2848,28,Rice Plaza,Richard,Ward,8,Son,NA,Male,Student,None,NA
2849,29,Rice Plaza,Victoria,Newton,19,Head,Single,Female,University Student,None,Christian
2850,29,Rice Plaza,Katie,Green,25,None,Single,Female,"Research officer, government",None,None
2851,30,Rice Plaza,Alexander,Manning,38,Head,Married,Male,Lobbyist,None,Catholic
2852,30,Rice Plaza,Holly,Manning,39,Wife,Married,Female,Licensed conveyancer,None,Catholic
2853,31,Rice Plaza,Susan,Swift,47,Head,Married,Female,"Civil engineer, contracting",None,Christian
2854,31,Rice Plaza,Luke,Swift,49,Husband,Married,Male,"Designer, jewellery",None,Christian
2855,31,Rice Plaza,Lorraine,Swift,21,Daughter,Single,Female,University Student,None,None
2856,31,Rice Plaza,Joanne,Swift,20,Daughter,Single,Female,University Student,None,None
2857,31,Rice Plaza,Ann,Swift,16,Daughter,NA,Female,Student,None,NA
2858,32,Rice Plaza,Kathryn,Fletcher,60,Head,Married,Female,Police officer,None,None
2859,32,Rice Plaza,Eric,Fletcher,66,Husband,Married,Male,"Therapist, sports",None,None
2860,32,Rice Plaza,Catherine,Baldwin,3,Granddaughter,NA,Female,Child,None,NA
2861,32,Rice Plaza,Derek,Conway,22,Lodger,Single,M,Biomedical engineer,None,None
2862,33,Rice Plaza,Joan,Taylor,25,Head,Married,Female,"Designer, blown glass/stained glass",None,Muslim
2863,33,Rice Plaza,Samuel,Taylor,27,Husband,Married,Male,Illustrator,None,Muslim
2864,33,Rice Plaza,Roger,Clements,27,Lodger,Single,Male,Arboriculturist,None,None
2865,33,Rice Plaza,Luke,Arnold,63,Lodger,Divorced,Male,Warden/ranger,None,Christian
2866,34,Rice Plaza,Steven,Pearson,68,Head,Married,Male,Retired Furniture conservator/restorer,None,Christian
2867,34,Rice Plaza,Linda,Pearson,67,Wife,Married,Female,"Sound technician, broadcasting/film/video",None,None
2868,35,Rice Plaza,Mark,Daly,99,Head,Married,Male,Retired Hydrogeologist,None,Christian
2869,35,Rice Plaza,Paula,Daly,102,Wife,Married,Female,Retired Sub,None,Christian
2870,36,Rice Plaza,Luke,Hammond,50,Head,Married,Male,Lobbyist,None,Catholic
2871,36,Rice Plaza,Julia,Hammond,51,Wife,Married,Female,Magazine journalist,None,None
2872,36,Rice Plaza,Neil,Hammond,30,Son,Single,M,"Programmer, systems",None,Catholic
2873,37,Rice Plaza,Keith,Williams,42,Head,Single,Male,Clinical molecular geneticist,None,None
2874,37,Rice Plaza,Glen,Singh,41,None,Single,Male,Unemployed,None,None
2875,37,Rice Plaza,Stephanie,Morgan,51,None,Single,Female,Medical secretary,None,Christian
2876,37,Rice Plaza,Mandy,Johnson,47,None,Single,Female,Writer,None,Catholic
2877,37,Rice Plaza,Leonard,Francis,60,None,Single,Male,"Administrator, charities/voluntary organisations",None,None
2878,38,Rice Plaza,Nicole,Jackson,44,Head,Divorced,Female,Unemployed,None,None
2879,38,Rice Plaza,Wendy,Jackson,4,Daughter,NA,Female,Child,None,NA
2880,39,Rice Plaza,Carol,Khan,22,Head,Married,Female,Dancer,None,Methodist
2881,39,Rice Plaza,Terry,Khan,26,Husband,Married,Male,Unemployed,None,Methodist
2882,39,Rice Plaza,Karen,Khan,3,Daughter,NA,Female,Child,None,NA
2883,40,Rice Plaza,Lindsey,James,44,Head,Married,Female,Counselling psychologist,None,None
2884,40,Rice Plaza,Mathew,James,46,Husband,Married,Male,Brewing technologist,None,None
2885,40,Rice Plaza,Danny,James,14,Son,NA,Male,Student,None,NA
2886,41,Rice Plaza,Kate,Hall,55,Head,Single,Female,Clothing/textile technologist,None,Christian
2887,41,Rice Plaza,Vincent,Hall,19,Son,Divorced,Male,University Student,None,Christian
2888,41,Rice Plaza,Marilyn,Hall,19,Daughter,Single,Female,"Doctor, hospital",None,Christian
2889,42,Rice Plaza,Donald,Jackson,39,Head,Single,Male,Theme park manager,None,None
2890,1,Repton Spur,Beverley,Young,24,Head,Married,Female,Unemployed,None,Sikh
2891,1,Repton Spur,Cameron,Young,26,Husband,Married,Male,"Engineer, electrical",None,Sikh
2892,1,Repton Spur,Sharon,Young,5,Daughter,NA,Female,Student,None,NA
2893,2,Repton Spur,Lee,Moran,39,Head,Married,Male,"Therapist, occupational",None,Christian
2894,2,Repton Spur,Kayleigh,Moran,39,Wife,Married,Female,"Designer, interior/spatial",None,Christian
2895,2,Repton Spur,Dale,Moran,14,Son,NA,Male,Student,None,NA
2896,3,Repton Spur,Judith,Walker-Potter,51,Head,Divorced,Female,Building control surveyor,None,None
2897,3,Repton Spur,Joshua,Walker-Potter,17,Son,NA,Male,Student,None,NA
2898,4,Repton Spur,Cheryl,Wood,19,Head,Single,Female,University Student,None,Catholic
2899,5,Repton Spur,Abbie,Andrews,39,Head,Married,Female,"Doctor, general practice",None,Christian
2900,5,Repton Spur,Damien,Andrews,41,Husband,Married,Male,Scientific laboratory technician,None,Christian
2901,5,Repton Spur,Vincent,Andrews,15,Son,NA,Male,Student,None,NA
2902,6,Repton Spur,Benjamin,Payne,37,Head,Single,Male,"Librarian, public",None,Catholic
2903,6,Repton Spur,Sandra,Pearson,29,Partner,Single,Female,"Nurse, adult",None,Catholic
2904,7,Repton Spur,Howard,Harvey,50,Head,Divorced,Male,Audiological scientist,None,None
2905,8,Repton Spur,Melissa,Wood,28,Head,Divorced,Female,"Production designer, theatre/television/film",None,Catholic
2906,9,Repton Spur,Samuel,Morris,55,Head,Married,Male,Sport and exercise psychologist,None,Catholic
2907,9,Repton Spur,Anna,Morris,53,Wife,Married,Female,Higher education lecturer,None,Catholic
2908,10,Repton Spur,Linda,Elliott,55,Head,Single,Female,Unemployed,None,Christian
2909,10,Repton Spur,Marian,Elliott,22,Daughter,Divorced,Female,University Student,None,Christian
2910,11,Repton Spur,Olivia,Cooper,70,Head,Widowed,Female,Retired Agricultural engineer,None,None
2911,12,Repton Spur,Katie,Fry,27,Head,Single,Female,Learning disability nurse,None,None
2912,12,Repton Spur,Scott,Ball,25,Partner,Single,Male,Television camera operator,None,None
2913,13,Repton Spur,Lisa,Sullivan,65,Head,Divorced,Female,Music therapist,None,Catholic
2914,14,Repton Spur,Irene,Brown,21,Head,Single,Female,"Engineer, maintenance (IT)",None,None
2915,14,Repton Spur,Joyce,Richardson,28,Lodger,Divorced,Female,Metallurgist,None,None
2916,14,Repton Spur,Gerald,Stanley,24,Lodger,Single,Male,Animal nutritionist,None,Methodist
2917,14,Repton Spur,Hazel,White,20,Lodger,Single,Female,University Student,None,None
2918,15,Repton Spur,Amelia,Birch,50,Head,Divorced,Female,Magazine journalist,None,None
2919,16,Repton Spur,Tracey,Taylor,23,Head,Divorced,Female,Unemployed,None,Methodist
2920,16,Repton Spur,Frederick,Taylor,4,Son,NA,Male,Child,None,NA
2921,16,Repton Spur,Liam,Taylor,0,Son,NA,Male,Child,None,NA
2922,17,Repton Spur,Sally,Mason,73,Head,Widowed,Female,Retired Geographical information systems officer,None,None
2923,18,Repton Spur,Sharon,Hancock,46,Head,Divorced,Female,Unemployed,None,None
2924,18,Repton Spur,Timothy,Hancock,14,Son,NA,male,Student,None,NA
2925,18,Repton Spur,Kyle,Hancock,12,Son,NA,Male,Student,None,NA
2926,19,Repton Spur,Zoe,Smith,55,Head,Married,Female,Fast food restaurant manager,None,Christian
2927,19,Repton Spur,Gerard,Smith,58,Husband,Married,m,"Producer, television/film/video",None,None
2928,20,Repton Spur,Amelia,Dunn,43,Head,Single,Female,Dispensing optician,None,None
2929,21,Repton Spur,Kimberley,Leonard,80,Head,Widowed,Female,Unemployed,None,Christian
2930,21,Repton Spur,Megan,Leonard,45,Daughter,Single,Female,Unemployed,None,Christian
2931,22,Repton Spur,Joe,James,67,Head,Widowed,Male,Unemployed,None,Christian
2932,23,Repton Spur,Jodie,Harris,35,Head,Widowed,Female,Unemployed,None,Catholic
2933,23,Repton Spur,Teresa,Harris,7,Daughter,NA,Female,Student,None,NA
2934,24,Repton Spur,Kirsty,Pearson,55,Head,Single,Female,"Geneticist, molecular",None,Methodist
2935,24,Repton Spur,Bernard,Pearson,10,Son,NA,Male,Student,None,NA
2936,25,Repton Spur,Emily,Green,58,Head,Single,Female,Hydrologist,None,Christian
2937,26,Repton Spur,Bruce,Walker,51,Head,Single,Male,"Pharmacist, hospital",None,None
2938,26,Repton Spur,Chelsea,Robinson,49,Partner,Single,Female,Mining engineer,None,None
2939,27,Repton Spur,Laura,Norris,72,Head,Married,Female,Retired Operations geologist,None,None
2940,27,Repton Spur,Geoffrey,Norris,75,Husband,Married,Male,Retired Brewing technologist,None,None
2941,28,Repton Spur,Steven,Marshall,54,Head,Single,Male,Agricultural engineer,None,None
2942,28,Repton Spur,Jodie,Edwards,58,None,Single,Female,Consulting civil engineer,None,Christian
2943,28,Repton Spur,Zoe,Payne,32,None,Single,Female,Medical secretary,None,None
2944,29,Repton Spur,Robin,Hunter,51,Head,Married,Male,Copy,None,None
2945,29,Repton Spur,Aimee,Hunter,49,Wife,Married,Female,"Nurse, children's",None,None
2946,30,Repton Spur,Sharon,Miller,50,Head,Single,Female,"Engineer, agricultural",None,Catholic
2947,31,Repton Spur,Beverley,Anderson,68,Head,Divorced,Female,Retired Clinical cytogeneticist,None,Christian
2948,32,Repton Spur,Arthur,Hill,42,Head,Single,m,Police officer,None,None
2949,33,Repton Spur,Christopher,Wright,59,Head,Single,Male,"Production assistant, television",None,Christian
2950,34,Repton Spur,Declan,Green,52,Head,Single,Male,Ship broker,None,Methodist
2951,35,Repton Spur,Tom,Berry,65,Head,Widowed,Male,Professor Emeritus,None,Methodist
2952,36,Repton Spur,Ashley,Middleton,84,Head,Single,Male,Retired Advertising account planner,None,Christian
2953,37,Repton Spur,William,Lawrence,78,Head,Widowed,Male,Retired Geochemist,None,None
2954,38,Repton Spur,Eileen,Fry,31,Head,Single,Female,Quality manager,None,Christian
2955,39,Repton Spur,Amanda,Patel,78,Head,Divorced,Female,"Retired Programme researcher, broadcasting/film/video",None,Catholic
2956,40,Repton Spur,Judith,Sutton,48,Head,Married,Female,Geographical information systems officer,None,Christian
2957,40,Repton Spur,Owen,Sutton,52,Husband,Married,Male,"Psychologist, prison and probation services",None,None
2958,40,Repton Spur,Rachel,Sutton,11,Daughter,NA,Female,Student,None,NA
2959,40,Repton Spur,Hollie,Sutton,10,Daughter,NA,Female,Student,None,NA
2960,41,Repton Spur,Anna,Robinson,84,Head,Married,Female,Retired Ergonomist,None,None
2961,41,Repton Spur,Gregory,Smith,85,Husband,Married,Male,Retired Midwife,None,None
2962,42,Repton Spur,Leanne,Tucker,73,Head,Widowed,Female,Retired Orthoptist,None,Jewish
2963,43,Repton Spur,Joanna,Rose,71,Head,Widowed,Female,Retired Retail buyer,None,Catholic
2964,44,Repton Spur,Angela,Marshall,39,Head,Single,Female,Risk manager,None,None
2965,45,Repton Spur,Kieran,Smith,44,Head,Divorced,Male,"Nurse, adult",None,Christian
2966,45,Repton Spur,Gregory,Smith,45,Cousin,Single,Male,Special effects artist,None,None
2967,46,Repton Spur,Gary,Shaw,55,Head,Married,Male,Clinical cytogeneticist,None,None
2968,46,Repton Spur,Rosemary,Shaw,53,Wife,Married,Female,Communications engineer,None,None
2969,47,Repton Spur,Kathryn,Nixon,54,Head,Married,Female,Camera operator,None,Muslim
2970,47,Repton Spur,Scott,Briggs,57,Husband,Married,Male,"Surveyor, quantity",None,None
2971,47,Repton Spur,Susan,Nixon,24,Daughter,Single,Female,Unemployed,None,None
2972,48,Repton Spur,Barry,Clayton,38,Head,Single,Male,Control and instrumentation engineer,None,Methodist
2973,49,Repton Spur,Philip,Day,70,Head,Married,Male,Retired Public relations officer,None,None
2974,49,Repton Spur,Diane,Day,70,Wife,Married,Female,Retired Chief of Staff,None,None
2975,50,Repton Spur,Jacob,Collier,43,Head,Married,Male,Barrister's clerk,None,Christian
2976,50,Repton Spur,Kirsty,Collier,34,Wife,Married,Female,Outdoor activities/education manager,None,Christian
2977,50,Repton Spur,Shaun,Moore,62,Lodger,Single,Male,"Scientist, water quality",None,None
2978,51,Repton Spur,Glen,Young,23,Head,Single,Male,"Engineer, production",None,Christian
2979,52,Repton Spur,Jamie,Barker,37,Head,Divorced,Male,"Engineer, communications", ,Catholic
2980,52,Repton Spur,Hayley,Barker,7,Daughter,NA,Female,Student,None,NA
2981,53,Repton Spur,Jane,Clarke,34,Head,Married,Female,"Librarian, academic",None,None
2982,53,Repton Spur,Samuel,Clarke,33,Husband,Married,Male,"Designer, fashion/clothing",None,None
2983,54,Repton Spur,Ben,Lee,72,Head,Widowed,Male,Unemployed,None,None
2984,54,Repton Spur,Bernard,Lee,11,Grandson,NA,Male,Student,None,NA
2985,54,Repton Spur,Damien,Lee,8,Grandson,NA,Male,Student,None,NA
2986,55,Repton Spur,Stewart,Shah,19,Head,Single,Male,University Student,None,Catholic
2987,56,Repton Spur,Marilyn,Donnelly,36,Head,Single,Female,"Scientist, research (maths)",None,Christian
2988,56,Repton Spur,Jenna,Donnelly,6,Daughter,NA,Female,Student,None,NA
2989,57,Repton Spur,Lorraine,Hussain,39,Head,Divorced,Female,Technical brewer,None,Christian
2990,57,Repton Spur,Alice,Hussain,11,Daughter,NA,Female,Student,None,NA
2991,58,Repton Spur,Marie,Hughes,65,Head,Widowed,Female,"Conservator, furniture",None,Catholic
2992,59,Repton Spur,Sara,Norton,27,Head,Divorced,Female,"Doctor, hospital",None,None
2993,60,Repton Spur,Damien,Pearce,90,Head,Divorced,Male,Retired Purchasing manager,None,Jewish
2994,61,Repton Spur,Laura,Smith,72,Head,Widowed,Female,Retired Podiatrist,None,Christian
2995,61,Repton Spur,Abdul,Smith,30,Son,Single,Male,Unemployed,None,Christian
2996,61,Repton Spur,Chelsea,Smith,29,Daughter,Divorced,Female,"Exhibitions officer, museum/gallery",None,None
2997,62,Repton Spur,Valerie,King,64,Head,Single,Female,Operations geologist,None,None
2998,62,Repton Spur,Jason,Potter,65,Partner,Single,m,Public librarian,None,None
2999,63,Repton Spur,Kim,Gray,21,Head,Married,Female,University Student,None,Muslim
3000,63,Repton Spur,Robert,Gray,29,Husband,Married,Male,Tax inspector,None,None
3001,63,Repton Spur,David,Gray,4,Son,NA,Male,Child,None,NA
3002,64,Repton Spur,Ellie,Brown,33,Head,Divorced,Female,Banker,None,None
3003,65,Repton Spur,Neil,Watson,51,Head,Single,Male,Tourist information centre manager,None,Christian
3004,66,Repton Spur,Hayley,Lees,59,Head,Married,Female,Public librarian,None,Christian
3005,66,Repton Spur,Damian,Lees,59,Husband,Married,Male,Unemployed,None,Christian
3006,67,Repton Spur,Joel,Leach,20,Head,Single,Male,University Student,None,None
3007,67,Repton Spur,Julia,Whitehead,19,Partner,Single,Female,University Student,None,None
3008,68,Repton Spur,Harriet,Smith,35,Head,Married,Female,Public affairs consultant,None,None
3009,68,Repton Spur,James,Smith,39,Husband,Married,Male,Automotive engineer,None,None
3010,69,Repton Spur,Mohamed,Thompson,39,Head,Single,Male,Applications developer,None,Christian
3011,70,Repton Spur,Dawn,Willis,56,Head,Divorced,Female,Freight forwarder,None,None
3012,71,Repton Spur,Lisa,Bradley,72,Head,Divorced,Female,"Retired Social research officer, government",None,Christian
3013,72,Repton Spur,Zoe,White,19,Head,Single,Female,University Student,None,Methodist
3014,73,Repton Spur,Abigail,Clark,19,Head,Single,Female,University Student,None,Christian
3015,74,Repton Spur,Leslie,Lawrence,27,Head,Divorced,Male,"Scientist, physiological",None,Methodist
3016,75,Repton Spur,Harry,Shepherd,27,Head,Single,M,Animator,None,None
3017,76,Repton Spur,Alex,Burke,50,Head,Single,Male,Sales promotion account executive,None,Christian
3018,77,Repton Spur,Beverley,Hunter,44,Head,Divorced,Female,Unemployed,None,None
3019,77,Repton Spur,Lynn,Hunter,12,Daughter,NA,Female,Student,None,NA
3020,78,Repton Spur,Anne,Wood,65,Head,Widowed,Female,Charity fundraiser,None,None
3021,79,Repton Spur,Joanna,Robinson,31,Head,Divorced,Female,Automotive engineer,None,None
3022,80,Repton Spur,Duncan,Young,38,Head,Single,Male,"Radiographer, diagnostic",None,None
3023,81,Repton Spur,Sally,Blake,42,Head,Married,Female,Civil Service administrator,None,None
3024,81,Repton Spur,Thomas,Blake,46,Husband,Married,Male,Building control surveyor,None,None
3025,81,Repton Spur,Malcolm,Blake,12,Son,NA,Male,Student,None,NA
3026,82,Repton Spur,Jacqueline,Turner,34,Head,Married,Female,Multimedia programmer,None,Catholic
3027,82,Repton Spur,Iain,Turner,38,Husband,Married,Male,"Engineer, land",None,Catholic
3028,82,Repton Spur,Scott,Welch,7,Son,NA,Male,Student,None,NA
3029,83,Repton Spur,Jordan,Collins,21,Head,Single,Male,University Student,None,None
3030,84,Repton Spur,Gordon,Grant,65,Head,Married,Male,Set designer,None,Methodist
3031,84,Repton Spur,Katy,Grant,63,Wife,Married,Female,Tourism officer,None,Methodist
3032,85,Repton Spur,Jamie,Johnston,74,Head,Married,Male,Retired Technical sales engineer,None,Christian
3033,85,Repton Spur,Elaine,Johnston,77,Wife,Married,Female,Retired Data scientist,None,Christian
3034,86,Repton Spur,Jade,Taylor,84,Head,Widowed,Female,Retired Dancer,None,None
3035,87,Repton Spur,Tom,Patel,26,Head,Single,Male,Special effects artist,None,None
3036,88,Repton Spur,Lisa,Rogers,74,Head,Widowed,Female,Retired Politician's assistant,None,Christian
3037,89,Repton Spur,Teresa,Brown,60,Head,Divorced,Female,"Scientist, research (physical sciences)",None,Christian
3038,89,Repton Spur,Thomas,Horton,6,Grandson,NA,Male,Student,None,NA
3039,90,Repton Spur,Lorraine,Scott,45,Head,Married,Female,Armed forces operational officer,None,None
3040,90,Repton Spur,Mohammed,Scott,47,Husband,Married,Male,TEFL teacher,None,None
3041,91,Repton Spur,Owen,Armstrong,56,Head,Single,Male,Unemployed,None,Christian
3042,91,Repton Spur,Jake,Armstrong,22,Son,Divorced,Male,University Student,None,Christian
3043,91,Repton Spur,Patrick,Armstrong,18,Son,Single,Male,Student,None,Christian
3044,92,Repton Spur,Graham,Bradshaw,83,Head,Widowed,Male,"Retired Engineer, structural",None,Christian
3045,93,Repton Spur,Rachel,Moore,84,Head,Single,Female,Retired Records manager,None,Christian
3046,94,Repton Spur,Samantha,Carr,43,Head,Single,Female,"Scientist, research (physical sciences)",None,None
3047,95,Repton Spur,Sally,Gough,70,Head,Widowed,Female,Retired Intelligence analyst,None,Methodist
3048,96,Repton Spur,Elliott,Williams,84,Head,Divorced,Male,Retired Local government officer,None,Christian
3049,97,Repton Spur,Martyn,Nash,50,Head,Divorced,Male,"Engineer, maintenance",None,Catholic
3050,98,Repton Spur,Marc,Harris,55,Head,Divorced,Male,Social worker,None,None
3051,99,Repton Spur,Brian,Taylor,67,Head,Married,Male,"Civil engineer, contracting",None,Catholic
3052,99,Repton Spur,Olivia,Taylor,61,Wife,Married,Female,Field trials officer,None,Catholic
3053,100,Repton Spur,Geoffrey,Nicholson,52,Head,Single,Male,Dealer,None,None
3054,101,Repton Spur,Josh,Campbell,32,Head,Single,Male,Radio producer,None,None
3055,102,Repton Spur,Dorothy,Davies,44,Head,Married,Female,Facilities manager,None,None
3056,102,Repton Spur,Alan,Davies,41,Husband,Married,Male,Chief Operating Officer,None,None
3057,102,Repton Spur,Pamela,Davies,17,Daughter,NA,Female,Student,None,NA
3058,103,Repton Spur,Ricky,Evans,55,Head,Single,Male,Unemployed,None,None
3059,103,Repton Spur,Paul,Evans,18,Grandson,Single,Male,Student,None,None
3060,103,Repton Spur,Margaret,Evans,14,Granddaughter,NA,Female,Student,None,NA
3061,104,Repton Spur,Sheila,Coates,25,Head,Married,Female,Fashion designer,None,Sikh
3062,104,Repton Spur,Glen,Coates,27,Husband,Married,Male,Proofreader,None,Sikh
3063,104,Repton Spur,Kate,Coates,6,Daughter,NA,Female,Student,None,NA
3064,105,Repton Spur,Lewis,Thomas,69,Head,Widowed,Male,Retired Clothing/textile technologist,None,Christian
3065,106,Repton Spur,Stanley,Hughes,42,Head,Single,Male,Lexicographer,None,Catholic
3066,107,Repton Spur,Abdul,Gordon,44,Head,Divorced,Male,"Psychologist, counselling",None,None
3067,108,Repton Spur,Jill,Jones,32,Head,Married,Female,Exhibition designer,None,None
3068,108,Repton Spur,Dominic,Jones,35,Husband,Married,Male,Applications developer,None,None
3069,108,Repton Spur,Dale,Jones,9,Son,NA,Male,Student,None,NA
3070,109,Repton Spur,Eric,Chan,72,Head,Widowed,Male,Retired Animal nutritionist,None,Christian
3071,110,Repton Spur,Dominic,Thompson,55,Head,Single,Male,Administrator,None,Methodist
3072,111,Repton Spur,Laura,Waters,58,Head,Single,Female,Paramedic,None,Christian
3073,112,Repton Spur,Dennis,Turner,32,Head,Single,Male,Contractor,None,None
3074,113,Repton Spur,Fiona,White,102,Head,Divorced,Female,Retired Camera operator,None,Christian
3075,1,Portsmouthtraps Street,Kim,Lynch,24,Head,Married,Female,Forensic psychologist,None,None
3076,1,Portsmouthtraps Street,Mohamed,Lynch,23,Husband,Married,Male,Fish farm manager,None,None
3077,1,Portsmouthtraps Street,Vincent,Lynch,7,Son,NA,Male,Student,None,NA
3078,1,Portsmouthtraps Street,Marie,Lynch,3,Daughter,NA,Female,Child,None,NA
3079,1,Portsmouthtraps Street,Aaron,Lynch,3,Son,NA,Male,Child,None,NA
3080,1,Portsmouthtraps Street,Mary,Lynch,3,Daughter,NA,Female,Child,None,NA
3081,2,Portsmouthtraps Street,Antony,Ahmed,75,Head,Married,Male,Retired Furniture designer,None,None
3082,2,Portsmouthtraps Street,Sally,Ahmed,78,Wife,Married,Female,"Retired Teacher, special educational needs",None,None
3083,2,Portsmouthtraps Street,Alison,Ahmed,40,Daughter,Single,Female,Learning disability nurse,None,None
3084,2,Portsmouthtraps Street,Beth,Ahmed,39,Daughter,Single,Female,Unemployed,None,None
3085,2,Portsmouthtraps Street,Colin,Ahmed,36,Son,Single,Male,General practice doctor,None,None
3086,2,Portsmouthtraps Street,Christian,Ahmed,34,Son,Divorced,Male,Heritage manager,None,None
3087,2,Portsmouthtraps Street,Damien,Ahmed,32,Son,Single,Male,Corporate investment banker,None,None
3088,2,Portsmouthtraps Street,Stuart,Ahmed,31,Son,Single,Male,Unemployed,None,None
3089,2,Portsmouthtraps Street,Nicola,Ahmed,11,Daughter,NA,Female,Student,None,NA
3090,3,Portsmouthtraps Street,Julia,Wood,48,Head,Divorced,Female,Unemployed,None,Catholic
3091,3,Portsmouthtraps Street,Lauren,Wood,24,Daughter,Single,Female,Music tutor,None,Catholic
3092,3,Portsmouthtraps Street,Hazel,Wood,20,Daughter,Single,Female,University Student,None,Catholic
